NV_Warning: Counter 'warp_execution_efficiency' is not compatible with other selected counters and it cannot be profiled in this run.
NV_Warning: Counter 'l1_cache_global_hit_rate' is not compatible with other selected counters and it cannot be profiled in this run.
NV_Warning: Counter 'l1_cache_local_hit_rate' is not compatible with other selected counters and it cannot be profiled in this run.
NV_Warning: Counter 'ipc' is not compatible with other selected counters and it cannot be profiled in this run.
# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_DEVICE 0 Tesla X2070
# CUDA_CONTEXT 1
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 146f48bf200dd6a9
gpustarttimestamp,method,gputime,cputime,gridsizeX,gridsizeY,occupancy,streamid
148a0214439a1d00,_Z34cudakernel_Counting_5_star_insidesPdPKd19ProcComputingCoordsdd,14033.664,3.550,42,1,0.333,12
148a02144428ba00,_Z38cudakernel_Counting_5_star_nxm_cornersPdPKdS1_S1_S1_S1_19ProcComputingCoordsdd,5.376,3.154,1,1,0.167,21
148a021444746e00,_Z31cudakernel_PrepareScalarProductPdPKdS1_id19ProcComputingCoords,8487.168,6.369,42,1,0.667,1
148a021444f5f600,_Z21cudakernel_ComputeSumPdPKdii,2313.216,2.909,42,1,1.000,1
148a021445194800,_Z21cudakernel_ComputeSumPdPKdii,4.864,3.008,1,1,0.333,1
148a021445196740,memcpyDtoH,1.696,10805.704,,,,1
148a0214451d4400,_Z31cudakernel_PrepareScalarProductPdPKdS1_id19ProcComputingCoords,8502.528,6.380,42,1,0.667,1
148a0214459f0800,_Z21cudakernel_ComputeSumPdPKdii,2303.232,2.973,42,1,1.000,1
148a021445c23200,_Z21cudakernel_ComputeSumPdPKdii,4.864,2.934,1,1,0.333,1
148a021445c251a0,memcpyDtoH,1.696,10811.222,,,,1
148a021445c60200,_Z20cudakernel_Compute_pPdPKdS1_id19ProcComputingCoords,10951.680,6.847,42,1,0.667,12
148a02144670a400,_Z30cudakernel_PrepareStopCriteriaPdPKdS1_i19ProcComputingCoords,8488.704,6.221,42,1,0.667,1
148a021446f23300,_Z21cudakernel_ComputeMaxPdPKdii,2333.696,2.864,42,1,1.000,1
148a02144715d500,_Z21cudakernel_ComputeMaxPdPKdii,4.864,2.662,1,1,0.333,1
148a02144715f4a0,memcpyDtoH,1.696,10828.920,,,,1
148a02144719a100,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,14.080,6.675,10,1,1.000,13
148a02144719be00,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,10.496,3.193,10,1,1.000,14
148a02144719e060,memcpyDtoHasync,16.864,4.880,,,,15
148a0214471a2f40,memcpyDtoHasync,10.176,3.306,,,,16
148a0214471a1000,_Z34cudakernel_Counting_5_star_insidesPdPKd19ProcComputingCoordsdd,14066.688,3.575,42,1,0.333,12
148a021447a91f00,_Z38cudakernel_Counting_5_star_nxm_cornersPdPKdS1_S1_S1_S1_19ProcComputingCoordsdd,5.120,3.170,1,1,0.167,21
148a021447f4e800,_Z20cudakernel_Compute_rPdPKdi19ProcComputingCoordsdddd,6990.848,7.137,42,1,0.333,12
148a021448631e00,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,13.568,6.810,10,1,1.000,13
148a021448633600,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,10.496,3.297,10,1,1.000,14
148a021448635c40,memcpyDtoHasync,14.560,4.793,,,,15
148a02144863a220,memcpyDtoHasync,9.696,3.121,,,,16
148a021448638e00,_Z34cudakernel_Counting_5_star_insidesPdPKd19ProcComputingCoordsdd,14088.960,3.607,42,1,0.333,12
148a021448f2f500,_Z38cudakernel_Counting_5_star_nxm_cornersPdPKdS1_S1_S1_S1_19ProcComputingCoordsdd,5.376,3.170,1,1,0.167,21
148a0214493eca00,_Z31cudakernel_PrepareScalarProductPdPKdS1_id19ProcComputingCoords,8481.536,6.428,42,1,0.667,1
148a021449c03c00,_Z21cudakernel_ComputeSumPdPKdii,2316.288,2.880,42,1,1.000,1
148a021449e39900,_Z21cudakernel_ComputeSumPdPKdii,4.864,2.729,1,1,0.333,1
148a021449e3b8a0,memcpyDtoH,1.728,10804.003,,,,1
148a021449e78100,_Z20cudakernel_Compute_gPdPKdid19ProcComputingCoords,8654.080,6.704,42,1,0.667,12
148a02144a6f1400,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,14.848,6.936,10,1,1.000,13
148a02144a6f2c00,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,11.520,3.171,10,1,1.000,14
148a02144a6f5280,memcpyDtoHasync,15.168,4.840,,,,15
148a02144a6f9ae0,memcpyDtoHasync,9.728,3.036,,,,16
148a02144a6f8300,_Z34cudakernel_Counting_5_star_insidesPdPKd19ProcComputingCoordsdd,14084.864,3.538,42,1,0.333,12
148a02144aff1000,_Z38cudakernel_Counting_5_star_nxm_cornersPdPKdS1_S1_S1_S1_19ProcComputingCoordsdd,4.864,3.139,1,1,0.167,21
148a02144b4abe00,_Z31cudakernel_PrepareScalarProductPdPKdS1_id19ProcComputingCoords,8713.728,6.614,42,1,0.667,1
148a02144bcfbb00,_Z21cudakernel_ComputeSumPdPKdii,2309.120,2.894,42,1,1.000,1
148a02144bf2fc00,_Z21cudakernel_ComputeSumPdPKdii,4.864,2.669,1,1,0.333,1
148a02144bf31b80,memcpyDtoH,1.728,11028.697,,,,1
148a02144bf6c800,_Z31cudakernel_PrepareScalarProductPdPKdS1_id19ProcComputingCoords,8614.912,6.204,42,1,0.667,1
148a02144c7a4300,_Z21cudakernel_ComputeSumPdPKdii,2302.464,2.967,42,1,1.000,1
148a02144c9d6b00,_Z21cudakernel_ComputeSumPdPKdii,4.864,2.651,1,1,0.333,1
148a02144c9d8b20,memcpyDtoH,1.696,10924.051,,,,1
148a02144ca14c00,_Z20cudakernel_Compute_pPdPKdS1_id19ProcComputingCoords,10935.040,6.761,42,1,0.667,12
148a02144d4baf00,_Z30cudakernel_PrepareStopCriteriaPdPKdS1_i19ProcComputingCoords,8631.040,6.587,42,1,0.667,1
148a02144dcf6900,_Z21cudakernel_ComputeMaxPdPKdii,2302.720,2.913,42,1,1.000,1
148a02144df29100,_Z21cudakernel_ComputeMaxPdPKdii,4.864,2.668,1,1,0.333,1
148a02144df2b160,memcpyDtoH,1.696,10939.450,,,,1
148a021452ebc720,memcpyDtoH,32052.863,32074.035,,,,1
